COUNTY,BEACH_OR_CITY_NAME,ACCESS_NAME,LOCATION_ADDRESS,ACCESS_SIGN,ENTRANCE_FEE,ENTRANCE_FEE_AMOUNT,PARKING_FEE,PARKING_FEE_AMOUNT,REGULAR_PARKING,NUMBER_OF_SPACES,ADA_PARKING,ADA_SPACES,LIFEGUARD,RESTROOM,SHOWER,ADA_ACCESSIBLE,BOARDWALK_TRAIL,SITE_ID,ACCESS_STATUS,BEACH_NAME_AND_COUNTY,FULL_ACCESS_NAME,LAT_LON_COORDS
Pinellas,Treasure Island,Beach Park,104th Ave. & Gulf Blvd.,Yes,No,0.0,No,0.0,Yes,65,Yes,2.0,No,Yes,Yes,Yes,Yes,FL236,Full Access With Parking,Treasure Island Pinellas County,Treasure Island Pinellas County Beach Park 104th Ave. & Gulf Blvd.,"27.76641389, -82.76856667"
Pinellas,Indian Rocks Beach,3rd Avenue,3rd Avenue & Gulf Blvd.,Yes,No,0.0,No,0.0,Yes,4,Yes,1.0,No,No,Yes,No,Yes,FL109,Full Access,Indian Rocks Beach Pinellas County,Indian Rocks Beach Pinellas County 3rd Avenue 3rd Avenue & Gulf Blvd.,"27.880544, -82.850526"
Bay,Gulf Lagoon Beach,Apalachee Street,30 feet East of Appalachee Street; & Surf Drive,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL832,Full Access,Gulf Lagoon Beach Bay County,Gulf Lagoon Beach Bay County Apalachee Street 30 feet East of Appalachee Street; & Surf Drive,"30.16105852, -85.78130171"
Pinellas,Treasure Island,St. Petersburg Municipal Beach,W of 112th Ave. & Gulf Blvd.,Yes,No,0.0,Yes,0.0,Yes,121,Yes,5.0,No,Yes,No,No,Yes,FL239,Full Access With Parking,Treasure Island Pinellas County,Treasure Island Pinellas County St. Petersburg Municipal Beach W of 112th Ave. & Gulf Blvd.,"27.771746, -82.772276"
Bay,Gulf Lagoon Beach,west of Ocean Street,West of Ocean St. & Surf Dr.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL834,Full Access,Gulf Lagoon Beach Bay County,Gulf Lagoon Beach Bay County west of Ocean Street West of Ocean St. & Surf Dr.,"30.163362, -85.784906"
Bay,Gulf Lagoon Beach,Tarpon Street,Tarpon Street & Surf Drive,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL836,Full Access,Gulf Lagoon Beach Bay County,Gulf Lagoon Beach Bay County Tarpon Street Tarpon Street & Surf Drive,"30.164751, -85.787033"
Okaloosa,Fort Walton Beach,Newman C. Brackin Wayside Park,1300 Miracle Strip Parkway,No,No,0.0,No,0.0,Yes,400,No,0.0,Yes,Yes,No,No,Yes,FL286,Full Access With Parking,Fort Walton Beach Okaloosa County,Fort Walton Beach Okaloosa County Newman C. Brackin Wayside Park 1300 Miracle Strip Parkway,"30.394671, -86.591288"
Okaloosa,"Okaloosa Island, national seashore",Gulf Island National Seashore - South of Mircle Strip Pkwy SE,"Acces pt on State Road 30, 2.5 miles east of other Gulf Island National Seashore unit, 2.4 mileasts east. of  Ft. Walton Beach Park",Yes,No,0.0,No,0.0,Yes,275,No,0.0,No,Yes,No,No,No,FL288,Full Access With Parking,"Okaloosa Island, national seashore Okaloosa County","Okaloosa Island, national seashore Okaloosa County Gulf Island National Seashore - South of Mircle Strip Pkwy SE Acces pt on State Road 30, 2.5 miles east of other Gulf Island National Seashore unit, 2.4 mileasts east. of  Ft. Walton Beach Park","30.39506795, -86.57794307"
Okaloosa,Fort Walton Beach,John Beasley Park,1550 Miracle Strip Parkway,No,No,0.0,No,0.0,Yes,208,No,0.0,Yes,Yes,No,No,Yes,FL287,Full Access With Parking,Fort Walton Beach Okaloosa County,Fort Walton Beach Okaloosa County John Beasley Park 1550 Miracle Strip Parkway,"30.394545, -86.583861"
Okaloosa,Fort Walton  Beach,Beach Access 2,2nd Beach Pakr & Santa Rosa Blvd.,No,No,0.0,No,0.0,Yes,25,No,0.0,Yes,Yes,No,No,Yes,FL283,Full Access With Parking,Fort Walton  Beach Okaloosa County,Fort Walton  Beach Okaloosa County Beach Access 2 2nd Beach Pakr & Santa Rosa Blvd.,"30.396433, -86.607553"
Okaloosa,Fort Walton Beach,Beach Access 4,4th Beach Park &  Santa Rosa Blvd.,No,No,0.0,No,0.0,Yes,25,No,0.0,Yes,Yes,No,No,Yes,FL281,Full Access With Parking,Fort Walton Beach Okaloosa County,Fort Walton Beach Okaloosa County Beach Access 4 4th Beach Park &  Santa Rosa Blvd.,"30.397232, -86.616701"
Okaloosa,Destin,Shirah Street,Shirah Street & Highway 98 E,Yes,No,0.0,No,0.0,Yes,6,Yes,1.0,Yes,No,No,Yes,No,FL299,Full Access,Destin Okaloosa County,Destin Okaloosa County Shirah Street Shirah Street & Highway 98 E,"30.382822, -86.428382"
Okaloosa,Destin,Hutchinson Street,Hutchinson St. & Highway 98 E,Yes,No,0.0,No,0.0,Yes,6,Yes,1.0,No,No,Yes,No,No,FL300,Full Access,Destin Okaloosa County,Destin Okaloosa County Hutchinson Street Hutchinson St. & Highway 98 E,"30.38265278, -86.42611111"
Nassau,Fernandina Beach,36,S Fletcher Ave. & Kissimmee Ave.,Yes,No,0.0,No,0.0,Yes,8,No,0.0,No,No,No,No,Yes,FL969,Full Access,Fernandina Beach Nassau County,Fernandina Beach Nassau County 36 S Fletcher Ave. & Kissimmee Ave.,"30.61537432, -81.44172393"
Nassau,Fernandina Beach,35,S Fletcher Ave. & Manatee Ave.,Yes,No,0.0,No,0.0,Yes,12,No,0.0,No,No,No,No,Yes,FL963,Full Access With Parking,Fernandina Beach Nassau County,Fernandina Beach Nassau County 35 S Fletcher Ave. & Manatee Ave.,"30.6177582, -81.44136658"
Nassau,Fernandina Beach,34,S Fletcher Ave. & Mantanzas Ave.,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL962,Full Access,Fernandina Beach Nassau County,Fernandina Beach Nassau County 34 S Fletcher Ave. & Mantanzas Ave.,"30.6189563, -81.44116671"
Nassau,Fernandina Beach,31,S Fletcher Ave. & Hutchins Ave.,Yes,No,0.0,No,0.0,Yes,12,No,0.0,No,No,No,No,Yes,FL961,Full Access With Parking,Fernandina Beach Nassau County,Fernandina Beach Nassau County 31 S Fletcher Ave. & Hutchins Ave.,"30.62216635, -81.44053029"
Nassau,Fernandina Beach,29,S Fletcher Ave. & S Casino Ave,Yes,No,0.0,No,0.0,Yes,4,No,0.0,No,No,No,No,Yes,FL959,Full Access,Fernandina Beach Nassau County,Fernandina Beach Nassau County 29 S Fletcher Ave. & S Casino Ave,"30.62626292, -81.43964811"
Nassau,Fernandina Beach,28,S Fletcher Ave. & N Casino Ave.,Yes,No,0.0,No,0.0,Yes,11,No,0.0,No,No,No,No,Yes,FL958,Full Access With Parking,Fernandina Beach Nassau County,Fernandina Beach Nassau County 28 S Fletcher Ave. & N Casino Ave.,"30.62772992, -81.43935221"
Bay,"Panama City Beach, Laguna Beach",Endless Summer,325' west of Shalimar Street; on Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL813,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County Endless Summer 325' west of Shalimar Street; on Front Beach Road","30.230907, -85.907579"
Bay,"Panama City Beach, Laguna Beach",east of Sundial Street,between Sundial St. & Cobb Rd. on Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL811,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County east of Sundial Street between Sundial St. & Cobb Rd. on Front Beach Road","30.229191, -85.903885"
Bay,"Panama City Beach, Laguna Beach",east of Cobb Road,east of end of Cobb Road; on Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL810,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County east of Cobb Road east of end of Cobb Road; on Front Beach Road","30.228626, -85.902881"
Bay,"Panama City Beach, Laguna Beach",Lake Circle east,between 16317 & 16311 Front Beach Road; south of Front Beach Road,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL800,Full Access,"Panama City Beach, Laguna Beach Bay County","Panama City Beach, Laguna Beach Bay County Lake Circle east between 16317 & 16311 Front Beach Road; south of Front Beach Road","30.217038, -85.879722"
Bay,Laguna Beach,16th Street,16th St. & Front Beach Rd.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL798,Full Access,Laguna Beach Bay County,Laguna Beach Bay County 16th Street 16th St. & Front Beach Rd.,"30.244523, -85.936131"
