County,"Date
Collected","Coastal
or
Offshore*","Karenia brevis
Levels","Sample
Depth
(m)",Site Location,Collector,Page,Source,,_1,_2
Pinellas,08/11,Coastal,Not Present,0.5,"Wallace Cove (Boca
Ciega Bay)",FWRI,1,swtable0815,,,
Pinellas,08/11,Coastal,Not Present,1.6,"Rabbit Key; NW of
(Anclote Anchorage)",FWRI,1,swtable0815,,,
Pinellas,08/11,Coastal,Not Present,0.5,Mullet Key; Gulf Pier,FWRI,1,swtable0815,,,
Pinellas,08/11,Coastal,Not Present,0.5,"Rabbit Key; NW of
(Anclote Anchorage)",FWRI,1,swtable0815,,,
Pinellas,08/11,Coastal,Not Present,0.5,"Via Cipriani; dock S of
(Old Tampa Bay)",FWRI,1,swtable0815,,,
Pinellas,08/11,Coastal,Not Present,0.5,"Country Club Road
North; SW of (Boca
Ciega Bay)",FWRI,1,swtable0815,,,
Pinellas,08/11,Coastal,Not Present,0.5,"FWRI Peninsula; SE tip
of (Bayboro Harbor)",FWRI,1,swtable0815,,,
Pinellas,08/11,Coastal,Not Present,3.7,"FWRI Peninsula; SE tip
of (Bayboro Harbor)",FWRI,1,swtable0815,,,
Pinellas,08/11,Coastal,Not Present,0.5,"Clearwater Beach Pier
60",FWRI,1,swtable0815,,,
Pinellas,08/11,Coastal,Not Present,0.5,La Contessa Pier,FWRI,1,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"Cooper Point; E of (Old
Tampa Bay)",FWRI,1,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"Snell Isle; 2.3 mi SE of
(Middle Tampa Bay)",FWRI,1,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,Treasure Island Beach,CoSP,1,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"Maximo Park (Lower
Tampa Bay)",CoSP,1,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"Lassing Park (Middle
Tampa Bay)",CoSP,1,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"North Shore Park
Beach (Middle Tampa
Bay)",CoSP,1,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"Spa Beach (Middle
Tampa Bay)",CoSP,2,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"High Point; 2 mi NE of
(Old Tampa Bay)",FWRI,2,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"Philippe Park; NE of
(Safety Harbor)",FWRI,2,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"Weedon Island; E of
(Old Tampa Bay)",FWRI,2,swtable0815,,,
Pinellas,08/13,Coastal,Not Present,0.5,"Big Island; 2.2 mi E of
(Old Tampa Bay)",FWRI,2,swtable0815,,,
Hillsborough,08/13,Coastal,Not Present,0.5,"C. Campbell Causeway;
S of (Old Tampa Bay)",FWRI,2,swtable0815,,,
Hillsborough,08/13,Coastal,Not Present,0.5,"San Jose St; W of (Old
Tampa Bay)",FWRI,2,swtable0815,,,
Hillsborough,08/13,Coastal,Not Present,0.5,"Howard Frankland
Bridge; N of (Old
Tampa Bay)",FWRI,2,swtable0815,,,
